route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
61050,,811,UTAH VALLEY TRAX CONNECTOR,,3,,3333CC,FFFFFF
61051,,821,SOUTH COUNTY/PROVO STATION,,3,,3333CC,FFFFFF
61052,,822,SOUTH UTAH COUNTY BYU/UVU LIMITED,,3,,3333CC,FFFFFF
61053,,830,PROVO/OREM FRONTRUNNER CONNECTOR,,3,,3333CC,FFFFFF
61054,,831,PROVO GRANDVIEW,,3,,3333CC,FFFFFF
61055,,832,BYU,,3,,3333CC,FFFFFF
61056,,833,AIRPORT/PROVO STATION,,3,,3333CC,FFFFFF
61057,,834,RIVERWOODS/ PROVO STATION,,3,,3333CC,FFFFFF
61058,,835,BYU,,3,,3333CC,FFFFFF
61059,,836,FRANKLIN/RIVERGROVE/PROVO STN,,3,,3333CC,FFFFFF
61060,,838,EAST BAY/PROVO TOWNE CTR/PROVO STN,,3,,3333CC,FFFFFF
61061,,840,UVU CAMPUS,,3,,3333CC,FFFFFF
61062,,841,UVU - OREM STATION,,3,,3333CC,FFFFFF
61063,,842,OREM 800 NORTH/CENTER ST/OREM STN,,3,,3333CC,FFFFFF
61064,,850,STATE STREET,,3,,3333CC,FFFFFF
61065,,862,OREM EAST/WEST,,3,,3333CC,FFFFFF
61066,,863,LEHI STATION/ADOBE/XACTWARE,,3,,3333CC,FFFFFF
61566,,880,SUNDANCE SKI SERVICE,,3,,3333CC,FFFFFF
61067,,9,900 SOUTH,,3,,3333CC,FFFFFF
61565,,901,PC-SLC CONNECT,,3,,3333CC,FFFFFF
61068,,902,PC-SLC CONNECT,,3,,3333CC,FFFFFF
61069,,919,FAIRPARK (WEST HS),,3,,3333CC,FFFFFF
61070,,920,ROSE PARK (WEST HS),,3,,3333CC,FFFFFF
61484,,951,DWNTWN/SNOWBIRD/ALTA,,3,,3333CC,FFFFFF
61485,,952,STATE ST./SNWBRD/ALTA,,3,,3333CC,FFFFFF
61486,,953,5300 S TRAX/SNOWBIRD/ALTA,,3,,3333CC,FFFFFF
61487,,954,UofU/SOLITUDE/BRIGHTON,,3,,3333CC,FFFFFF
61071,,960,7200 S TRAX/SOLITUDE/BRIGHTON,,3,,3333CC,FFFFFF
61488,,962,10000 S TRAX/SOLITUDE/BRIGHTON,,3,,3333CC,FFFFFF
61072,,990,7200 S TRAX/SNOWBIRD/ALTA,,3,,3333CC,FFFFFF
61489,,992,10000 S TRAX/SNOWBIRD/ALTA,,3,,3333CC,FFFFFF
61143,,F400,TOOELE FLEX,,3,,3333CC,FFFFFF
61144,,F401,GRANSTVILLE FLEX SHUTTLE,,3,,3333CC,FFFFFF
61145,,F402,TOOELE CITY CIRCULATOR,,3,,3333CC,FFFFFF
61156,,F504,SOUTH JORDAN FLEX,,3,,3333CC,FFFFFF
61157,,F514,300 W FLEX,,3,,3333CC,FFFFFF
61158,,F518,RIVERTON FLEX,,3,,3333CC,FFFFFF
61159,,F522,2200 WEST FLEX SHUTTLE,,3,,3333CC,FFFFFF
61160,,F534,HERRIMAN FLEX SHUTTLE,,3,,3333CC,FFFFFF
61161,,F546,DRAPER FLEX,,3,,3333CC,FFFFFF
61162,,F547,HERRIMAN FLEX,,3,,3333CC,FFFFFF
61163,,F556,5600 W FLEX,,3,,3333CC,FFFFFF
61164,,F570,7000 S FLEX,,3,,3333CC,FFFFFF
61165,,F578,7800 S FLEX,,3,,3333CC,FFFFFF
61166,,F590,9000 S FLEX,,3,,3333CC,FFFFFF
61170,,F618,OGDEN BDO FLEX,,3,,3333CC,FFFFFF
61171,,F638,THE BRIGHAM CITY "LIFT",,3,,3333CC,FFFFFF
61223,,F94,SANDY FLEX,,3,,3333CC,FFFFFF
