48643,,704,GREEN LINE,,0,,0BBE02,FFFFFF
48644,,72,7200 SOUTH,,3,,3333CC,FFFFFF
48645,,720,S-LINE,,0,,707070,FFFFFF
48646,,750,FRONTRUNNER,,2,,9F49B7,FFFFFF
48647,,805,SANTAQUIN/PAYSON/SF/PROVO STN/UVU,,3,,3333CC,FFFFFF
48648,,806,EAGLE MTN/SARATOGA SPR/LEHI STN/UVU,,3,,3333CC,FFFFFF
48649,,807,NORTH COUNTY/LEHI STATION/UVU,,3,,3333CC,FFFFFF
48650,,811,UTAH VALLEY TRAX CONNECTOR,,3,,3333CC,FFFFFF
48651,,821,SOUTH COUNTY/PROVO STATION,,3,,3333CC,FFFFFF
48652,,822,SOUTH UTAH COUNTY BYU/UVU LIMITED,,3,,3333CC,FFFFFF
48653,,830,PROVO/OREM FRONTRUNNER CONNECTOR,,3,,3333CC,FFFFFF
48654,,831,PROVO GRANDVIEW,,3,,3333CC,FFFFFF
48655,,832,PROVO/900 EAST/MAESER,,3,,3333CC,FFFFFF
48656,,833,LAKE VIEW/SUNSET/PROVO STATION,,3,,3333CC,FFFFFF
48657,,834,RIVERWOODS/ PROVO STATION,,3,,3333CC,FFFFFF
48658,,836,FRANKLIN/DIXON/RIVERGROVE/PROVO STN,,3,,3333CC,FFFFFF
48659,,838,EAST BAY/PROVO TOWNE CTR/PROVO STN,,3,,3333CC,FFFFFF
48660,,842,OREM 800 NORTH/CENTER ST/OREM STN,,3,,3333CC,FFFFFF
48661,,850,STATE STREET,,3,,3333CC,FFFFFF
48662,,853,LEHI STATION/ ADOBE/ IM FLASH,,3,,3333CC,FFFFFF
48663,,862,OREM EAST/WEST,,3,,3333CC,FFFFFF
48665,,9,900 SOUTH,,3,,3333CC,FFFFFF
48863,,902,PC-SLC CONNECT,,3,,3333CC,FFFFFF
48668,,919,FAIRPARK (WEST HS),,3,,3333CC,FFFFFF
48669,,920,ROSE PARK (WEST HS),,3,,3333CC,FFFFFF
48676,,990,7200 S TRAX  TO  SNOWBIRD/ALTA,,3,,3333CC,FFFFFF
48748,,F400,TOOELE FLEX,,3,,3333CC,FFFFFF
48749,,F401,GRANSTVILLE/STANSBURY FLEX,,3,,3333CC,FFFFFF
48759,,F504,SOUTH JORDAN FLEX,,3,,3333CC,FFFFFF
48851,,F514,300 W FLEX,,3,,3333CC,FFFFFF
48861,,F518,RIVERTON FLEX,,3,,3333CC,FFFFFF
48762,,F522,2200 WEST FLEX SHUTTLE,,3,,3333CC,FFFFFF
48763,,F534,HERRIMAN FLEX SHUTTLE,,3,,3333CC,FFFFFF
48764,,F546,DRAPER FLEX,,3,,3333CC,FFFFFF
48765,,F547,HERRIMAN FLEX,,3,,3333CC,FFFFFF
48864,,F556,5600 W FLEX,,3,,3333CC,FFFFFF
48848,,F570,7000 S FLEX,,3,,3333CC,FFFFFF
48849,,F578,7800 S FLEX,,3,,3333CC,FFFFFF
48850,,F590,9000 S FLEX,,3,,3333CC,FFFFFF
48774,,F618,OGDEN BDO FLEX,,3,,3333CC,FFFFFF
48775,,F638,THE BRIGHAM CITY "LIFT",,3,,3333CC,FFFFFF
48794,,F868,LEHI/AMERICAN FORK FLEX,,3,,3333CC,FFFFFF
48865,,F94,SANDY FLEX,,3,,3333CC,FFFFFF
