23050,TX198005,AIRPORT STATION,N 3700 W,40.783905,-111.979989
23053,198007,SUNNYSIDE AVE @ 2601 E,E SUNNYSIDE AVE,40.752546,-111.815434
23052,198006,2300 E @ 4629 S,S 2300 E,40.670508,-111.82449
22958,101945,COMMERCE DRIVE @ 5256 S,S COMMERCE DRIVE,40.656266,-111.899351
3431,182023,MAIN ST @ 395 S,S MAIN ST,40.523496,-112.298567
22951,101938,11TH AVE @ 997 E,E 11TH AVE,40.78079,-111.860674
12832,107089,MAIN ST @ 1440 N,N MAIN ST,40.937132,-111.879009
12831,107040,MAIN ST @ 1390 N,N MAIN ST,40.935638,-111.878873
12830,107032,MAIN ST @ 1300 N,N MAIN ST,40.933354,-111.878853
12837,107046,MAIN ST @ 1970 N,N MAIN ST,40.946235,-111.881304
12836,107045,MAIN ST @ 1806 N,N MAIN ST,40.943533,-111.880434
12835,107044,MAIN ST @ 1690 N,N MAIN ST,40.941977,-111.880049
12834,107043,MAIN ST @ 1590 N,N MAIN ST,40.940314,-111.879734
15285,153141,CENTER ST @ 49 W,W CENTER ST,40.610837,-111.892762
15284,154337,7800 S @ 109 E,E 7800 S,40.609638,-111.887875
12839,107048,MAIN ST @ 2212 N,N MAIN ST,40.950604,-111.882912
8546,623188,WASHINGTON BLVD @ 2790 S   (OGDEN),S WASHINGTON BLVD,41.214696,-111.970483
15281,154334,7800 S @ 385 E,E 7800 S,40.609625,-111.879657
15280,154333,7800 S @ 435 E,E 7800 S,40.609606,-111.878537
15283,154336,7800 S @ 175 E,E 7800 S,40.609636,-111.886196
15282,154335,7800 S @ 225 E,E 7800 S,40.60964,-111.883201
23657,501033,MAIN ST @ 975 N,N MAIN ST,40.550467,-112.298282
10884,802021,1600 N @ 260 W,W 1600 N,40.326461,-111.720918
10885,812192,1600 N @ 1035 W,W 1600 N,40.326319,-111.720571
10886,812193,1600 N @ 755 W,W 1600 N,40.326372,-111.714116
10887,812194,1600 N @ 525 W,W 1600 N,40.326413,-111.709896
10880,812188,1600 N @ 84 W,W 1600 N,40.326703,-111.698012
10881,812189,1600 N @ 278 W,W 1600 N,40.326648,-111.703291
10882,812190,1600 N @ 460 W,W 1600 N,40.326642,-111.706761
22679,301353,2000 W @ 1275 N,N 2000 W,41.132121,-112.064589
22676,601200,1200 W @ 410 N,N 1200 W,41.267455,-112.008758
22677,601201,WASHINGTON BLVD @ 309 N,N WASHINGTON BLVD,41.265147,-111.969681
22674,301349,FORT LANE @ 575 S,S FORT LANE,41.051582,-111.957771
22675,601199,28TH ST @ 155 E,E 28TH ST,41.214404,-111.977334
10888,812195,1600 N @ 277 W,W 1600 N,40.326507,-111.702969
10889,812196,1600 N @ 97 W,W 1600 N,40.326548,-111.698605
22018,301154,400 W @ 548 N,N 400 W,40.923231,-111.885488
22019,301155,400 W @ 549 N,N 400 W,40.923263,-111.885627
22012,301148,400 W @ 1485 N,N 400 W,40.938327,-111.885498
22010,301146,400 W @ 1678 N,N 400 W,40.941537,-111.885248
22011,301147,400 W @ 1689 N,N 400 W,40.941703,-111.885391
22016,301152,400 W @ 1125 N,N 400 W,40.930573,-111.885606
22017,301153,400 W @ 1126 N,N 400 W,40.930701,-111.885444
22014,301150,400 W @ 1298 N,N 400 W,40.933586,-111.885452
22015,301151,400 W @ 1297 N,N 400 W,40.933467,-111.885574
13619,138223,4500 S @ 2498 E,E 4500 S,40.675032,-111.819806
13614,138089,HOLLADAY BLVD @ 4705 S,S HOLLADAY BLVD,40.667444,-111.823221
13616,138104,2300 E @ 4551 S,S 2300 E,40.672494,-111.824461
13617,138221,4500 S @ 2322 E,E 4500 S,40.674139,-111.823956
13611,155068,HOLLADAY BLVD @ 4963 S,S HOLLADAY BLVD,40.661288,-111.819075
13612,155165,HOLLADAY BLVD @ 4833 S,S HOLLADAY BLVD,40.664234,-111.819696
13613,138088,HOLLADAY BLVD @ 4797 S,S HOLLADAY BLVD,40.665171,-111.820766
11289,622025,PENNSYLVANIA AVE @ 2845 S,S PENNSYLVANIA AVE,41.213878,-112.006571
11288,622024,PENNSYLVANIA AVE @ 2727 S,S PENNSYLVANIA AVE,41.217124,-112.006671
11285,622014,24TH ST @ 684 W,W 24TH ST,41.223141,-111.995726
16069,135010,CONSTITUTION BLVD @ 3830 S,S CONSTITUTION BLVD,40.688595,-111.958117
11287,622023,PENNSYLVANIA AVE @ 2665 S,S PENNSYLVANIA AVE,41.218659,-112.006051
11286,622022,2550 S @ 1213 W,W 2550 S,41.219471,-112.008094
17627,115036,WILEY POST WAY @ 4910 W,W WILEY POST WAY,40.773581,-112.008193
17626,115018,WILEY POST WAY @ 4860 W,W WILEY POST WAY,40.773573,-112.006965
17629,115045,WILEY POST WAY @ 5184 W,W WILEY POST WAY,40.773791,-112.014973
17628,115019,WILEY POST WAY @ 5070 W,W WILEY POST WAY,40.773561,-112.012535
13531,138116,2700 E @ 4030 S,S 2700 E,40.684193,-111.815058
13530,138154,3300 S @ 3045 E,E 3300 S,40.699978,-111.807231
4622,820143,100 N @ 30 W,W 100 N,40.235203,-111.659206
13532,138117,2700 E @ 4114 S,S 2700 E,40.682309,-111.815067
4624,820145,100 N @ 260 W,W 100 N,40.235212,-111.663236
13534,138298,2700 E @ 4344 S,S 2700 E,40.677163,-111.815094
13537,138252,4500 S @ 2575 E,E 4500 S,40.675427,-111.818008
13536,138251,4500 S @ 2685 E,E 4500 S,40.675398,-111.815664
13539,138254,4500 S @ 2411 E,E 4500 S,40.675016,-111.821143
11756,616167,9TH ST @ 955 E,E 9TH ST,41.248384,-111.954269
11753,616162,2ND ST @ 1180 E,E 2ND ST,41.258987,-111.948356
11759,623223,EDVALSON ST @ 1349 E,E EDVALSON ST,41.194734,-111.944863
16392,124058,1700 S @ 1896 W,W 1700 S,40.733231,-111.944341
16393,124059,1700 S @ 1970 W,W 1700 S,40.733231,-111.946865
16390,125172,REDWOOD RD @ 1801 S,S REDWOOD RD,40.730529,-111.938859
16391,124057,1700 S @ 1816 W,W 1700 S,40.733231,-111.942452
16398,124064,PIONEER RD @ 1520 S,S PIONEER RD,40.737416,-111.958101
16399,124065,PIONEER RD @ 1710 S,S PIONEER RD,40.732651,-111.958131
20731,633132,13TH ST @ 1380 S,S 13TH ST,41.094263,-112.022291
20730,633150,ANTELOPE DR @ 421 E   (CLEARFIELD),E ANTELOPE DR,41.088986,-112.016862
20739,820042,400 E @ 214 N,N 400 E,40.236689,-111.651638
20793,623420,MONROE BLVD @ 1220 S,S MONROE BLVD,41.243367,-111.953293
13288,137300,3300 S @ 1385 E,E 3300 S,40.700015,-111.851345
13287,137299,3300 S @ 1585 E,E 3300 S,40.700009,-111.846364
21930,101471,HIGHLAND BLVD @ 6271 S,S HIGHLAND BLVD,40.637526,-111.834122
21931,101473,LAKE PARK BLVD @ 4255 W,W LAKE PARK BLVD,40.710784,-111.993858
21932,301119,1800 S @ 53 W,W 1800 S,40.871146,-111.881613
21934,101468,300 W @ 1560 S,S 300 W,40.735601,-111.899843
21935,101472,3100 S @ 9196 W,W 3100 S,40.703808,-112.110138
21936,101474,LAKE PARK BLVD @ 4256 W,W LAKE PARK BLVD,40.710966,-111.993806
21937,101475,VESTRY RD @ 1038 E,E VESTRY RD,40.494179,-111.861762
21938,101476,VESTRY RD @ 1035 E,E VESTRY RD,40.494185,-111.862056
21288,813048,RESEARCH WAY @ 1224 N,N RESEARCH WAY,40.319659,-111.680741
10390,817254,500 W @ 508 N,N 500 W,40.240802,-111.667323
10393,817256,500 W @ 852 N,N 500 W,40.245064,-111.667301
10394,817257,500 W @ 988 N,N 500 W,40.246757,-111.667317
